Headline,Redaccion,Date,Image URL,Link,Comentarios
Amenazan paralizar ampliación del Canal de Panamá,No hay,01/01/2014 _ 23:42,https://elcomercio.pe/resizer/j8gkbJ4D3ZMcGreErTX8uFFrpW0=/234x161/smart/filters:format(jpeg):quality(75)/arc-anglerfish-arc2-prod-elcomercio.s3.amazonaws.com/public/2QJCHVXL5ZBGDFH7GKOLXT5HDU.jpg,https://elcomercio.pe/mundo/actualidad/amenazan-paralizar-ampliacion-canal-panama-164641-noticia/,Los millonarios sobrecostos han obligado a la empresa encargada de las obras a dicha medida que la administradora del canal ve como amenaza
Amenazan paralizar ampliación del Canal de Panamá,No hay,01/01/2014 _ 23:42,https://elcomercio.pe/resizer/xkLMPw_yeJvgTT2nr0_056Tq_d8=/234x161/smart/filters:format(jpeg):quality(75)/arc-anglerfish-arc2-prod-elcomercio.s3.amazonaws.com/public/3DFITECEVZEFRGZXA6HOH5GYR4.jpg,https://elcomercio.pe/mundo/actualidad/amenazan-paralizar-ampliacion-canal-panama-noticia-1680886,Los millonarios sobrecostos han obligado a la empresa encargada de las obras a dicha medida que la administradora del canal ve como amenaza
Valle del Colca recibió más de 250 mil turistas durante el 2013,No hay,01/01/2014 _ 23:13,https://elcomercio.pe/resizer/vlT2G1R3XVztfK3uNdTJ9Mdy-oQ=/234x161/smart/filters:format(jpeg):quality(75)/arc-anglerfish-arc2-prod-elcomercio.s3.amazonaws.com/public/FXT2JUSTA5DFPOOB7VSB2XUSOU.jpg,https://elcomercio.pe/mundo/actualidad/valle-colca-recibio-250-mil-turistas-2013-164649-noticia/,"La mayoría de turistas extranjeros que visitaron el valle arequipeño provienen de Francia, España e Italia, informó el Autocolca"
Argentina: baja el calor pero continúa el riesgo en la población,No hay,01/01/2014 _ 22:52,https://elcomercio.pe/resizer/VJgwc-B7kdeoH8mk4MWQ2flkyL0=/234x161/smart/filters:format(jpeg):quality(75)/arc-anglerfish-arc2-prod-elcomercio.s3.amazonaws.com/public/BK2GAO4GJVD7LCPMDEWPDJHAKE.jpg,https://elcomercio.pe/mundo/actualidad/argentina-baja-calor-continua-riesgo-poblacion-164638-noticia/,El Servicio Meteorológico Nacional comenzó el año 2014 con una buena noticia: bajó el alerta de calor de rojo a amarillo en Buenos Aires
EE.UU.: Los Boy Scouts ya admiten a homosexuales,No hay,01/01/2014 _ 22:34,https://elcomercio.pe/resizer/PNmYq1q56yrOITPQg1HLUkz7Ypg=/234x161/smart/filters:format(jpeg):quality(75)/arc-anglerfish-arc2-prod-elcomercio.s3.amazonaws.com/public/ELLN2KPP45FYTJIBNUP2XJN3OE.jpg,https://elcomercio.pe/mundo/actualidad/ee-uu-boy-scouts-admiten-homosexuales-164646-noticia/,"Sin embargo, la medida precisa que no podrán ser guías. Las iglesias que patrocinan a los Scouts aceptan la decisión"
EE.UU.: Los Boy Scouts ya admiten a homosexuales,No hay,01/01/2014 _ 22:34,https://elcomercio.pe/resizer/PjzY4-w36j34VAHd2r0gt3HQoRs=/234x161/smart/filters:format(jpeg):quality(75)/arc-anglerfish-arc2-prod-elcomercio.s3.amazonaws.com/public/UNHRQWHT7NDQJF5TQG4T63NNCA.jpg,https://elcomercio.pe/mundo/actualidad/eeuu-boy-scouts-ya-admiten-homosexuales-noticia-1680919,"Sin embargo, la medida precisa que no podrán ser guías. Las iglesias que patrocinan a los Scouts aceptan la decisión"
¿Qué va a pasar con los precios de los inmuebles en el 2014?,No hay,01/01/2014 _ 22:27,https://elcomercio.pe/resizer/TSGTbVNsPU9vddxLZ-bKTW60Y14=/234x161/smart/filters:format(jpeg):quality(75)/arc-anglerfish-arc2-prod-elcomercio.s3.amazonaws.com/public/PNESH6KGPFCW7JIO4OQKN6VLKM.jpg,https://elcomercio.pe/economia/peru/pasar-precios-inmuebles-2014-164621-noticia/,Analistas esperan que los precios de viviendas en Lima suban entre 10% y 12% en promedio. Las más demandadas serán las valorizadas entre los US$80.000 y US$150.000
Nieto negro de Mitt Romney es objeto de burla por TV,No hay,01/01/2014 _ 22:17,https://elcomercio.pe/resizer/mBmlqXChQChJkd0mCz-akgIInC4=/234x161/smart/filters:format(jpeg):quality(75)/arc-anglerfish-arc2-prod-elcomercio.s3.amazonaws.com/public/6WPRGX4UFVBXFPE3PSDFDDT4WY.jpg,https://elcomercio.pe/tvmas/television/nieto-negro-mitt-romney-objeto-burla-tv-164648-noticia/,Una presentadora de MSNBC ofreció disculpas “sin reservas ni condiciones” por hacer chistes sobre un nieto adoptivo del excandidato presidencial de EE.UU.
Cuba conmemora 55 años de su revolución comunista,No hay,01/01/2014 _ 22:02,https://elcomercio.pe/resizer/JPqGrrrM35HppcqQ-vmI_CZwAKQ=/234x161/smart/filters:format(jpeg):quality(75)/arc-anglerfish-arc2-prod-elcomercio.s3.amazonaws.com/public/RVCGRS7HGVBRJF5RPMQ6NGJINE.jpg,https://elcomercio.pe/mundo/actualidad/cuba-conmemora-55-anos-revolucion-comunista-164647-noticia/,"De esos años, 48 fueron gobernados por la dictadura de Fidel Castro. Desde el 2006 está bajo la batuta de Raúl Castro, hermano del primero"
Arequipa: más de 115 toneladas de basura fueron recogidas tras Año Nuevo,Redacción EC,01/01/2014 _ 21:42,https://elcomercio.pe/resizer/kwiEQa93ekPx9QGZORx416AQfrc=/234x161/smart/filters:format(jpeg):quality(75)/arc-anglerfish-arc2-prod-elcomercio.s3.amazonaws.com/public/QV4DNJRHAFDYNOTHSKVU72X7OU.jpg,https://elcomercio.pe/lima/arequipa-115-toneladas-basura-recogidas-ano-nuevo-282860-noticia/,"La cifra superó en más de 30 toneladas el cúmulo normal de desperdicios en un día, informó la municipalidad provincial arequipeña"
Feminicidio: dos sujetos asesinaron a sus parejas en Año Nuevo,Redacción EC,01/01/2014 _ 21:17,https://elcomercio.pe/resizer/B8T7TeiUHqBszgbzvXGfG-t5Z0E=/234x161/smart/filters:format(jpeg):quality(75)/arc-anglerfish-arc2-prod-elcomercio.s3.amazonaws.com/public/SLE3QNKPPNFFROLY6VDGPKNLXI.jpg,https://elcomercio.pe/lima/feminicidio-dos-sujetos-asesinaron-parejas-ano-nuevo-282861-noticia/,Los asesinatos ocurrieron en Pueblo Libre y Carabayllo. Ambas víctimas se habían negado a retomar la relación amorosa
Feminicidio: dos sujetos asesinaron a sus parejas en Año Nuevo,No hay,01/01/2014 _ 21:17,https://elcomercio.pe/resizer/B10qbhGqc3OFCcHnzUE0Y5iaC2Q=/234x161/smart/filters:format(jpeg):quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/LA74EVPO5RBX3PT3G7CMGZ6NEY.jpg,https://elcomercio.pe/sociedad/lima/feminicidio-dos-sujetos-asesinaron-sus-parejas-ano-nuevo-noticia-1680899,Los asesinatos ocurrieron en Pueblo Libre y Carabayllo. Ambas víctimas se habían negado a retomar la relación amorosa
Huánuco: declaran “alerta verde” en zonas rurales debido a fuertes lluvias,No hay,01/01/2014 _ 21:02,https://elcomercio.pe/resizer/pHWi9NCMr82p_JjuISW4LNVEOXU=/234x161/smart/filters:format(jpeg):quality(75)/arc-anglerfish-arc2-prod-elcomercio.s3.amazonaws.com/public/MGTH55M5Y5HMNFGFN7CWX5XE4I.jpg,https://elcomercio.pe/mundo/actualidad/huanuco-declaran-alerta-verde-zonas-rurales-debido-fuertes-lluvias-164644-noticia/,"La Dirección Regional de Salud dio la alarma a sus dependencias para atender emergencias focalizadas en Dos de Mayo, Huamalíes y Leoncio Prado"
Fuegos artificiales por Año Nuevo desde la Costa Verde,Redacción EC,01/01/2014 _ 21:02,https://elcomercio.pe/resizer/km55rBYWRFcLkbbepkyW8U0ffUg=/234x161/smart/filters:format(jpeg):quality(75)/arc-anglerfish-arc2-prod-elcomercio.s3.amazonaws.com/public/QUDHV76HGZEQBNU6PRJOHQX2PM.jpg,https://elcomercio.pe/whatsapp/sucesos/fuegos-artificiales-ano-nuevo-costa-verde-375621-noticia/,Uno de nuestros reportuberos nos envió este video en el que se ve el espectáculo que recibió al 2014
Arizona: Padre confiesa haber asesinado a hijo,No hay,01/01/2014 _ 20:49,https://elcomercio.pe/resizer/2jwkucDCPL5MkG5_CdhuCSgsNJg=/234x161/smart/filters:format(jpeg):quality(75)/arc-anglerfish-arc2-prod-elcomercio.s3.amazonaws.com/public/PFTQKAFIQVAHJIKTNJNFIBIJTY.jpg,https://elcomercio.pe/mundo/actualidad/arizona-padre-confiesa-haber-asesinado-hijo-164642-noticia/,"Gary Sherrill, de 51 años, mató a su hijo con un hacha. Según las escalofriantes declaraciones a la policía “creía que era el demonio”"
Mercado de pases del fútbol peruano: conoce los fichajes de los equipos,Redacción EC,01/01/2014 _ 20:42,https://elcomercio.pe/resizer/4oFTjtWgE_bEurBcQNBt6cbQQck=/234x161/smart/filters:format(jpeg):quality(75)/arc-anglerfish-arc2-prod-elcomercio.s3.amazonaws.com/public/P6MJKR44PNGL3KMJX2PHEI3QJI.jpg,https://elcomercio.pe/deporte-total/futbol-peruano/mercado-pases-futbol-peruano-conoce-fichajes-equipos-282801-noticia/,Los 16 clubes de Primera División se alistan para encarar de la mejor forma el Descentralizado 2014
Zapatistas celebran los 20 años del levantamiento indígena en México,No hay,01/01/2014 _ 20:14,https://elcomercio.pe/resizer/2kadRhuLmhUbwjvQDw2j9GovKA4=/234x161/smart/filters:format(jpeg):quality(75)/arc-anglerfish-arc2-prod-elcomercio.s3.amazonaws.com/public/QXW7RKOUW5GNDON3KWLGRPMPI4.jpg,https://elcomercio.pe/mundo/actualidad/zapatistas-celebran-20-anos-levantamiento-indigena-mexico-164639-noticia/,"El Subcomandante Marcos no aparece desde el 2006. Cinco municipios de Chiapas tienen su propio sistema de justicia, salud y educación"
UEFA hizo oficial el calendario del fútbol europeo 2014,Redacción EC,01/01/2014 _ 19:56,https://elcomercio.pe/resizer/I13OtjKTVeAKEn2pO1mocJu-zlk=/234x161/smart/filters:format(jpeg):quality(75)/arc-anglerfish-arc2-prod-elcomercio.s3.amazonaws.com/public/FTZPMONBMFGFPLRXJPQ4JIQFPQ.jpg,https://elcomercio.pe/deporte-total/futbol-mundial/uefa-hizo-oficial-calendario-futbol-europeo-2014-282846-noticia/,Entrega del Balón de Oro abre una temporada cargada de eventos. Revisa aquí las fechas claves de la Champions League y otras competiciones
Letonia abandona su moneda y adopta al Euro,No hay,01/01/2014 _ 19:40,https://elcomercio.pe/resizer/i7Q97BoPcVwZztI5kTA9LxJlAdQ=/234x161/smart/filters:format(jpeg):quality(75)/arc-anglerfish-arc2-prod-elcomercio.s3.amazonaws.com/public/VRFZD6GP3VFSFLVLCFD55ZTMM4.jpg,https://elcomercio.pe/economia/mundo/letonia-abandona-moneda-adopta-euro-278187-noticia/,"El 53% de la población letona respalda la unión monetaria, según la oficina de estadística comunitaria Eurostat"
